,timestep_int,age_bin,USER_gender,USER_eldership,count,timestep
299,908,"(29, 39]",Vyras,Naujamiestis,12.761803303165767,2024-06
300,908,"(29, 39]",Vyras,Naujoji Vilnia,13.501794941643848,2024-06
301,908,"(29, 39]",Vyras,Antakalnis,13.542588874729113,2024-06
302,908,"(29, 39]",Vyras,Senamiestis,11.674649663201414,2024-06
303,908,"(29, 39]",Vyras,Fabijoniškės,13.1998021769862,2024-06
304,908,"(29, 39]",Vyras,Šeškinė,11.934717662368652,2024-06
305,908,"(29, 39]",Vyras,Pilaitė,12.573933648992941,2024-06
306,908,"(29, 39]",Vyras,Karoliniškės,11.041329856534539,2024-06
307,908,"(29, 39]",Vyras,Rasos,9.371236815791328,2024-06
308,908,"(29, 39]",Vyras,Viršuliškės,9.311175415508242,2024-06
309,908,"(29, 39]",Vyras,Verkiai,15.462071223337755,2024-06
310,908,"(29, 39]",Vyras,Šnipiškės,10.393927441754347,2024-06
311,908,"(29, 39]",Vyras,Naujininkai,12.671395821347634,2024-06
312,908,"(29, 39]",Vyras,Vilkpėdė,10.35474414617865,2024-06
313,908,"(29, 39]",Vyras,Paneriai,9.029115740993792,2024-06
314,908,"(29, 39]",Vyras,Grigiškės,8.259157032423246,2024-06
315,908,"(29, 39]",Moteris,Justiniškės,11.620770419559317,2024-06
316,908,"(29, 39]",Moteris,Žirmūnai,13.92191179765198,2024-06
317,908,"(29, 39]",Moteris,Žvėrynas,9.992832374071696,2024-06
318,908,"(29, 39]",Moteris,Pašilaičiai,14.671026993248113,2024-06
319,908,"(29, 39]",Moteris,Lazdynai,12.399423684166067,2024-06
320,908,"(29, 39]",Moteris,Naujamiestis,13.092729356293127,2024-06
321,908,"(29, 39]",Moteris,Naujoji Vilnia,13.832720994771204,2024-06
322,908,"(29, 39]",Moteris,Antakalnis,13.873514927856473,2024-06
323,908,"(29, 39]",Moteris,Senamiestis,12.00557571632877,2024-06
324,908,"(29, 39]",Moteris,Fabijoniškės,13.530728230113557,2024-06
325,908,"(29, 39]",Moteris,Šeškinė,12.265643715496008,2024-06
326,908,"(29, 39]",Moteris,Pilaitė,12.904859702120298,2024-06
327,908,"(29, 39]",Moteris,Karoliniškės,11.372255909661895,2024-06
328,908,"(29, 39]",Moteris,Rasos,9.702162868918684,2024-06
329,908,"(29, 39]",Moteris,Viršuliškės,9.642101468635598,2024-06
330,908,"(29, 39]",Moteris,Verkiai,15.792997276465112,2024-06
331,908,"(29, 39]",Moteris,Šnipiškės,10.724853494881703,2024-06
332,908,"(29, 39]",Moteris,Naujininkai,13.00232187447499,2024-06
333,908,"(29, 39]",Moteris,Vilkpėdė,10.685670199306006,2024-06
334,908,"(29, 39]",Moteris,Paneriai,9.360041794121148,2024-06
335,908,"(29, 39]",Moteris,Grigiškės,8.590083085550603,2024-06
336,908,"(19, 29]",Vyras,Justiniškės,9.553039839745388,2024-06
337,908,"(19, 29]",Vyras,Žirmūnai,11.85418121783805,2024-06
338,908,"(19, 29]",Vyras,Žvėrynas,7.925101794257767,2024-06
339,908,"(19, 29]",Vyras,Pašilaičiai,12.603296413434176,2024-06
340,908,"(19, 29]",Vyras,Lazdynai,10.331693104352137,2024-06
341,908,"(19, 29]",Vyras,Naujamiestis,11.024998776479194,2024-06
342,908,"(19, 29]",Vyras,Naujoji Vilnia,11.764990414957275,2024-06
343,908,"(19, 29]",Vyras,Antakalnis,11.80578434804254,2024-06
344,908,"(19, 29]",Vyras,Senamiestis,9.937845136514841,2024-06
345,908,"(19, 29]",Vyras,Fabijoniškės,11.462997650299627,2024-06
346,908,"(19, 29]",Vyras,Šeškinė,10.197913135682079,2024-06
347,908,"(19, 29]",Vyras,Pilaitė,10.837129122306369,2024-06
348,908,"(19, 29]",Vyras,Karoliniškės,9.304525329847966,2024-06
349,908,"(19, 29]",Vyras,Rasos,7.634432289104751,2024-06
350,908,"(19, 29]",Vyras,Viršuliškės,7.574370888821669,2024-06
351,908,"(19, 29]",Vyras,Verkiai,13.725266696651182,2024-06
352,908,"(19, 29]",Vyras,Šnipiškės,8.65712291506777,2024-06
353,908,"(19, 29]",Vyras,Naujininkai,10.934591294661061,2024-06
354,908,"(19, 29]",Vyras,Vilkpėdė,8.617939619492077,2024-06
355,908,"(19, 29]",Vyras,Paneriai,7.292311214307222,2024-06
356,908,"(19, 29]",Vyras,Grigiškės,6.522352505736674,2024-06
357,908,"(19, 29]",Moteris,Justiniškės,9.883965892872748,2024-06
358,908,"(19, 29]",Moteris,Žirmūnai,12.18510727096541,2024-06
359,908,"(19, 29]",Moteris,Žvėrynas,8.256027847385127,2024-06
360,908,"(19, 29]",Moteris,Pašilaičiai,12.934222466561536,2024-06
361,908,"(19, 29]",Moteris,Lazdynai,10.662619157479497,2024-06
362,908,"(19, 29]",Moteris,Naujamiestis,11.355924829606554,2024-06
